10.2.1.1,0c:8d:db:6e:32:14,Cisco,,,
10.2.1.4,0c:8d:db:6e:31:9f,Cisco,,,
10.2.1.5,0c:8d:db:6d:df:5f,Cisco,,,
10.2.1.6,0c:8d:db:6e:2e:96,Cisco,,,
10.2.1.7,0c:8d:db:6e:31:ef,Cisco,,,
10.2.1.8,0c:8d:db:6e:32:22,Cisco,,,
10.2.1.10,7c:03:ab:98:f1:bf,Xiaomi,,,
10.2.1.12,88:53:95:31:44:7d,Apple,,,
10.2.1.13,08:62:66:72:32:06,ASUSTek,,,
10.2.1.14,d4:38:9c:03:69:57,Sony,,,
10.2.1.15,9c:5c:f9:bf:57:6d,Sony,,,
10.2.1.18,d4:38:9c:3e:e2:cc,Sony,,,
10.2.1.19,04:03:d6:d8:7c:ca,Nintendo,,,
10.2.1.21,48:d6:d5:e0:d7:b0,Google,,,
10.2.1.23,b4:8b:19:a0:f9:33,Apple,,,
10.2.1.24,a8:6b:ad:69:1b:2b,Hon,,,
10.2.1.25,50:01:d9:c9:be:1a,HUAWEI,,,
10.2.1.26,54:33:cb:c4:94:60,Apple,,,
10.2.1.27,08:f6:9c:03:ee:38,Apple,,,
10.2.1.29,cc:82:eb:41:f8:54,KYOCERA,,,
10.2.1.30,f8:62:14:05:44:5b,Apple,,,
10.2.1.36,30:e3:7a:c8:34:6c,Intel,,,
10.2.1.37,90:b6:86:53:5a:3e,Murata,,,
10.2.1.38,0c:8d:db:6d:e0:aa,Cisco,,,
10.2.1.39,34:12:98:37:c8:03,Apple,,,
10.2.1.40,24:24:0e:53:b0:fb,Apple,,,
10.2.1.41,9c:5c:f9:c6:22:5e,Sony,,,
10.2.1.42,1c:36:bb:ae:64:d5,Apple,,,
10.2.1.43,5c:ea:1d:e4:c1:83,Hon,,,
10.2.1.44,64:5a:ed:47:0c:59,Apple,,,
10.2.1.45,64:b0:a6:53:89:6e,Apple,,,
10.2.1.46,88:1f:a1:d7:57:fa,Apple,,,
10.2.1.48,64:b5:c6:b5:14:94,Nintendo,,,
10.2.1.51,14:2d:27:b6:4c:2f,Hon,,,
10.2.1.53,34:08:bc:85:a0:fd,Apple,,,
10.2.1.54,4c:74:bf:40:1d:08,Apple,,,
10.2.1.55,dc:41:5f:97:58:7e,Apple,,,
10.2.1.57,28:a0:2b:ca:c9:06,Apple,,,
10.2.1.60,50:1a:c5:0a:e2:ca,Microsoft,,,
10.2.1.63,6c:8d:c1:c0:94:3c,Apple,,,
10.2.1.64,e4:9a:79:15:02:3a,Apple,,,
10.2.1.65,5c:09:47:4e:0a:47,Apple,,,
10.2.1.66,90:60:f1:2a:dd:4b,Apple,,,
10.2.1.67,54:c9:df:0e:c6:a5,FN-LINK,,,
10.2.1.68,5c:f9:38:ee:8a:3e,Apple,,,
10.2.1.71,0c:51:01:4c:5a:39,Apple,,,
10.2.1.72,6c:96:cf:d5:7b:76,Apple,,,
10.2.1.75,10:44:00:77:d9:9d,HUAWEI,,,
10.2.1.77,e4:7f:b2:5c:59:dc,FUJITSU,,,
10.2.1.78,04:e5:36:41:73:23,Apple,,,
10.2.1.79,5c:09:47:46:ca:f6,Apple,,,
10.2.1.80,b0:fc:0d:2c:f8:7b,Amazon,,,
10.2.1.82,34:95:db:02:00:0b,Logitec,,,
10.2.1.83,64:80:99:5a:94:b0,Intel,,,
10.2.1.85,e0:ac:cb:d6:42:e6,Apple,,,
10.2.1.88,7c:dd:90:55:d8:7f,Shenzhen,,,
10.2.1.89,c0:b6:f9:94:28:e3,Intel,,,
10.2.1.93,d4:7b:b0:94:17:49,ASKEY,,,
10.2.1.94,04:e5:36:4c:84:51,Apple,,,
10.2.1.96,cc:2d:b7:87:15:f9,Apple,,,
10.2.1.97,f8:62:14:16:6c:32,Apple,,,
10.2.1.100,d0:53:49:bf:52:9a,Liteon,,,
10.2.1.101,a4:34:d9:38:9c:da,Intel,,,
10.2.1.102,c4:7d:46:a7:8b:11,FUJITSU,,,
10.2.1.103,fc:d8:48:52:00:94,Apple,,,
10.2.1.104,38:78:62:8a:f6:be,Sony,,,
10.2.1.110,b8:e8:56:da:8c:06,Apple,,,
10.2.1.115,04:03:d6:dc:52:d8,Nintendo,,,
10.2.1.117,00:f4:8d:b1:e9:71,Liteon,,,
10.2.1.118,d0:53:49:53:1a:35,Liteon,,,
10.2.1.122,78:4f:43:8e:f2:42,Apple,,,
10.2.1.123,00:26:6c:1c:bb:9d,Inventec,,,
10.2.1.127,18:31:bf:d2:24:50,ASUSTek,,,
10.2.1.134,00:db:df:40:d1:02,Intel,,,
10.2.1.138,a4:31:35:b9:75:21,Apple,,,
10.2.1.141,00:26:6c:1c:e9:81,Inventec,,,
10.2.1.142,a4:93:3f:b9:d1:32,HUAWEI,,,
10.2.1.143,5c:51:4f:f1:01:35,Intel,,,
10.2.1.160,62:c0:ed:a2:52:d7,Unknown,,,
10.2.1.161,98:54:1b:2f:22:09,Intel,,,
10.2.1.163,38:78:62:06:43:ca,Sony,,,
10.2.1.176,0c:8d:db:6e:32:25,Cisco,,,
10.2.1.179,18:31:bf:db:18:02,ASUSTek,,,
10.2.1.188,84:ef:18:99:05:ca,Intel,,,
10.2.1.212,e4:02:9b:af:b7:70,Intel,,,
10.2.1.153,84:38:35:45:b8:34,Apple,,,
