0c:8d:db,Cisco Meraki
7c:03:ab,Xiaomi Communications Co Ltd
88:53:95,"Apple, Inc."
cc:2d:b7,"Apple, Inc."
9c:5c:f9,Sony Mobile Communications AB
1c:36:bb,"Apple, Inc."
d4:38:9c,Sony Mobile Communications AB
18:31:bf,ASUSTek COMPUTER INC.
48:d6:d5,"Google, Inc."
b4:8b:19,"Apple, Inc."
a8:6b:ad,"Hon Hai Precision Ind. Co.,Ltd."
50:01:d9,"HUAWEI TECHNOLOGIES CO.,LTD"
54:33:cb,"Apple, Inc."
08:f6:9c,"Apple, Inc."
38:78:62,Sony Mobile Communications AB
0c:70:4a,"HUAWEI TECHNOLOGIES CO.,LTD"
30:e3:7a,Intel Corporate
90:b6:86,"Murata Manufacturing Co., Ltd."
34:12:98,"Apple, Inc."
24:24:0e,"Apple, Inc."
5c:ea:1d,"Hon Hai Precision Ind. Co.,Ltd."
64:5a:ed,"Apple, Inc."
64:b0:a6,"Apple, Inc."
88:1f:a1,"Apple, Inc."
14:2d:27,"Hon Hai Precision Ind. Co.,Ltd."
38:ca:da,"Apple, Inc."
04:69:f8,"Apple, Inc."
e4:9a:79,"Apple, Inc."
0c:51:01,"Apple, Inc."
b0:fc:0d,Amazon Technologies Inc.
c0:b6:f9,Intel Corporate
60:6b:ff,"Nintendo Co.,Ltd"
04:e5:36,"Apple, Inc."
a4:34:d9,Intel Corporate
fc:d8:48,"Apple, Inc."
60:14:b3,CyberTAN Technology Inc.
30:35:ad,"Apple, Inc."
b8:e8:56,"Apple, Inc."
24:e3:14,"Apple, Inc."
00:26:6c,Inventec
a4:93:3f,"HUAWEI TECHNOLOGIES CO.,LTD"
74:2b:62,FUJITSU LIMITED
f8:62:14,"Apple, Inc."
00:f4:8d,Liteon Technology Corporation
e4:02:9b,Intel Corporate
62:c0:ed,Unknown
cc:82:eb,KYOCERA CORPORATION
34:08:bc,"Apple, Inc."
28:a0:2b,"Apple, Inc."
54:c9:df,FN-LINK TECHNOLOGY LIMITED
5c:09:47,"Apple, Inc."
d0:53:49,Liteon Technology Corporation
c4:7d:46,FUJITSU LIMITED
10:08:b1,"Hon Hai Precision Ind. Co.,Ltd."
84:38:35,"Apple, Inc."
48:a1:95,"Apple, Inc."
40:40:a7,Sony Mobile Communications AB
b4:f7:a1,LG Electronics (Mobile Communications)
90:60:f1,"Apple, Inc."
7c:dd:90,"Shenzhen Ogemray Technology Co., Ltd."
a4:31:35,"Apple, Inc."
dc:41:5f,"Apple, Inc."
10:44:00,"HUAWEI TECHNOLOGIES CO.,LTD"
24:5b:a7,"Apple, Inc."
e4:7f:b2,FUJITSU LIMITED
d8:1c:79,"Apple, Inc."
6c:96:cf,"Apple, Inc."
80:38:96,SHARP Corporation
6c:8d:c1,"Apple, Inc."
e0:ac:cb,"Apple, Inc."
d4:7b:b0,ASKEY COMPUTER CORP
04:03:d6,"Nintendo Co.,Ltd"
00:db:df,Intel Corporate
88:19:08,"Apple, Inc."
64:b5:c6,"Nintendo Co.,Ltd"
34:95:db,Logitec Corporation
64:80:99,Intel Corporate
78:4f:43,"Apple, Inc."
1c:65:9d,Liteon Technology Corporation
ac:b5:7d,Liteon Technology Corporation
24:fd:52,Liteon Technology Corporation
4c:74:bf,"Apple, Inc."
84:ef:18,Intel Corporate
84:89:ad,"Apple, Inc."
3c:2e:f9,"Apple, Inc."
5c:f9:38,"Apple, Inc."
0e:0a:5b,Unknown
68:ef:43,"Apple, Inc."
08:62:66,ASUSTek COMPUTER INC.
78:67:d7,"Apple, Inc."
5c:51:4f,Intel Corporate
a0:88:69,Intel Corporate
e4:9a:dc,"Apple, Inc."
7c:04:d0,"Apple, Inc."
98:54:1b,Intel Corporate
cc:f7:35,Amazon Technologies Inc.
10:ae:60,Private
58:e2:8f,"Apple, Inc."
80:a5:89,AzureWave Technology Inc.
48:43:7c,"Apple, Inc."
50:1a:c5,Microsoft
dc:0c:5c,"Apple, Inc."
7c:2e:bd,"Google, Inc."
fc:18:3c,"Apple, Inc."
38:53:9c,"Apple, Inc."
22:9c:15,Unknown
f8:27:93,"Apple, Inc."
9a:92:ee,Unknown
